Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.2943,1,2.4,40,41,20
130.139,2,2.4,40,41,20
139.341,3,2.4,40,41,20
117.358,4,2.4,40,41,20
169.585,5,2.4,40,41,20
119.414,6,2.4,40,41,20
197.677,7,2.4,40,41,20
487.78,8,2.4,40,41,20
297.984,9,2.4,40,41,20
211.911,10,2.4,40,41,20
319.274,11,2.4,40,41,20
257.62,12,2.4,40,41,20
437.641,13,2.4,40,41,20
278.712,14,2.4,40,41,20
277.792,15,2.4,40,41,20
354.854,16,2.4,40,41,20
282.473,17,2.4,40,41,20
435.621,18,2.4,40,41,20
388.923,19,2.4,40,41,20
375.285,20,2.4,40,41,20
411.659,21,2.4,40,41,20
345.656,22,2.4,40,41,20
311.921,23,2.4,40,41,20
553.537,24,2.4,40,41,20
414.124,25,2.4,40,41,20
573.659,26,2.4,40,41,20
478.495,27,2.4,40,41,20
824.897,28,2.4,40,41,20
464.89,29,2.4,40,41,20
612.814,30,2.4,40,41,20
663.085,31,2.4,40,41,20
782.039,32,2.4,40,41,20
881.209,33,2.4,40,41,20
706.692,34,2.4,40,41,20
828.719,35,2.4,40,41,20
639.237,36,2.4,40,41,20
658.821,37,2.4,40,41,20
562.371,38,2.4,40,41,20
599.247,39,2.4,40,41,20
756.285,40,2.4,40,41,20
1009.17,41,2.4,40,41,20
658.407,42,2.4,40,41,20
1049.57,43,2.4,40,41,20
820.397,44,2.4,40,41,20
998.202,45,2.4,40,41,20
727.154,46,2.4,40,41,20
737.158,47,2.4,40,41,20
692.155,48,2.4,40,41,20
826.512,49,2.4,40,41,20
740.979,50,2.4,40,41,20
1022.83,51,2.4,40,41,20
725.469,52,2.4,40,41,20
1116.28,53,2.4,40,41,20
804.889,54,2.4,40,41,20
841.183,55,2.4,40,41,20
860.853,56,2.4,40,41,20
931.312,57,2.4,40,41,20
1133.57,58,2.4,40,41,20
1193.62,59,2.4,40,41,20
1174.24,60,2.4,40,41,20
89.821,1,5,160,41,20
173.283,2,5,160,41,20
82.3692,3,5,160,41,20
113.456,4,5,160,41,20
127.16,5,5,160,41,20
148.059,6,5,160,41,20
73.8198,7,5,160,41,20
255.957,8,5,160,41,20
121.645,9,5,160,41,20
185.494,10,5,160,41,20
149.856,11,5,160,41,20
124.857,12,5,160,41,20
242.249,13,5,160,41,20
188.699,14,5,160,41,20
107.797,15,5,160,41,20
192.839,16,5,160,41,20
126.642,17,5,160,41,20
176.249,18,5,160,41,20
231.859,19,5,160,41,20
173.549,20,5,160,41,20
201.764,21,5,160,41,20
162.519,22,5,160,41,20
138.882,23,5,160,41,20
252.358,24,5,160,41,20
206.065,25,5,160,41,20
144.612,26,5,160,41,20
300.299,27,5,160,41,20
269.927,28,5,160,41,20
195.454,29,5,160,41,20
277.995,30,5,160,41,20
295.457,31,5,160,41,20
305.125,32,5,160,41,20
580.855,33,5,160,41,20
394.262,34,5,160,41,20
355.393,35,5,160,41,20
337.721,36,5,160,41,20
348.966,37,5,160,41,20
304.211,38,5,160,41,20
307.804,39,5,160,41,20
347.377,40,5,160,41,20
478.199,41,5,160,41,20
465.277,42,5,160,41,20
452.894,43,5,160,41,20
408.749,44,5,160,41,20
426.9,45,5,160,41,20
342.68,46,5,160,41,20
353.669,47,5,160,41,20
331.797,48,5,160,41,20
386.89,49,5,160,41,20
371.421,50,5,160,41,20
