Mean_Goodput(Mbps),NumSTAs,FrequencyBand(Hz),ChannelWidth(GHz),Seed,SimulationTime(s)
88.3014,1,2.4,40,44,20
192.935,2,2.4,40,44,20
108.74,3,2.4,40,44,20
141.64,4,2.4,40,44,20
147.758,5,2.4,40,44,20
112.378,6,2.4,40,44,20
386.365,7,2.4,40,44,20
311.156,8,2.4,40,44,20
239.723,9,2.4,40,44,20
267.162,10,2.4,40,44,20
304.699,11,2.4,40,44,20
220.874,12,2.4,40,44,20
405.88,13,2.4,40,44,20
280.119,14,2.4,40,44,20
330.215,15,2.4,40,44,20
346.253,16,2.4,40,44,20
303.092,17,2.4,40,44,20
506.052,18,2.4,40,44,20
406.228,19,2.4,40,44,20
415.591,20,2.4,40,44,20
540.373,21,2.4,40,44,20
444.912,22,2.4,40,44,20
391.769,23,2.4,40,44,20
476.102,24,2.4,40,44,20
479.721,25,2.4,40,44,20
607.381,26,2.4,40,44,20
505.784,27,2.4,40,44,20
596.416,28,2.4,40,44,20
449.963,29,2.4,40,44,20
707.08,30,2.4,40,44,20
569.341,31,2.4,40,44,20
558.421,32,2.4,40,44,20
664.828,33,2.4,40,44,20
711.654,34,2.4,40,44,20
778.137,35,2.4,40,44,20
737.42,36,2.4,40,44,20
672.745,37,2.4,40,44,20
613.557,38,2.4,40,44,20
533.76,39,2.4,40,44,20
900.579,40,2.4,40,44,20
1066.91,41,2.4,40,44,20
740.568,42,2.4,40,44,20
850.569,43,2.4,40,44,20
752.618,44,2.4,40,44,20
1081.71,45,2.4,40,44,20
1049.78,46,2.4,40,44,20
640.439,47,2.4,40,44,20
905.727,48,2.4,40,44,20
778.103,49,2.4,40,44,20
899.994,50,2.4,40,44,20
878.375,51,2.4,40,44,20
849.97,52,2.4,40,44,20
1010.14,53,2.4,40,44,20
748.75,54,2.4,40,44,20
968.92,55,2.4,40,44,20
889.448,56,2.4,40,44,20
1218.38,57,2.4,40,44,20
1019.37,58,2.4,40,44,20
1063.66,59,2.4,40,44,20
993.108,60,2.4,40,44,20
46.0266,1,5,160,44,20
203.048,2,5,160,44,20
59.9147,3,5,160,44,20
118.155,4,5,160,44,20
58.7207,5,5,160,44,20
89.8308,6,5,160,44,20
57.2591,7,5,160,44,20
210.808,8,5,160,44,20
189.672,9,5,160,44,20
134.066,10,5,160,44,20
151.408,11,5,160,44,20
114.395,12,5,160,44,20
178.191,13,5,160,44,20
100.939,14,5,160,44,20
118.405,15,5,160,44,20
193.314,16,5,160,44,20
137.133,17,5,160,44,20
154.155,18,5,160,44,20
234.84,19,5,160,44,20
176.421,20,5,160,44,20
247.815,21,5,160,44,20
172.034,22,5,160,44,20
194.078,23,5,160,44,20
241.048,24,5,160,44,20
230.547,25,5,160,44,20
216.599,26,5,160,44,20
271.629,27,5,160,44,20
219.788,28,5,160,44,20
257.453,29,5,160,44,20
239.892,30,5,160,44,20
211.162,31,5,160,44,20
269.503,32,5,160,44,20
466.901,33,5,160,44,20
302.814,34,5,160,44,20
409.359,35,5,160,44,20
320.755,36,5,160,44,20
394.072,37,5,160,44,20
295.867,38,5,160,44,20
242.073,39,5,160,44,20
402.996,40,5,160,44,20
376.217,41,5,160,44,20
414.193,42,5,160,44,20
352.04,43,5,160,44,20
395.017,44,5,160,44,20
470.105,45,5,160,44,20
415.688,46,5,160,44,20
375.693,47,5,160,44,20
435.05,48,5,160,44,20
381.426,49,5,160,44,20
442.128,50,5,160,44,20
