QueueDropPackets,PacketsInQueue,PacketsDropPhyRx,PacketsDropPhyRxInterferences,Time(s),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
0,0,0,0,0,150,2.4,40,1,60
0,0,132410,13489,1,150,2.4,40,1,60
182499,60,324787,39662,2,150,2.4,40,1,60
388791,56,513250,71215,3,150,2.4,40,1,60
592161,56,631722,93268,4,150,2.4,40,1,60
795148,45,810018,129495,5,150,2.4,40,1,60
997888,56,974004,161497,6,150,2.4,40,1,60
1200364,35,1111071,188106,7,150,2.4,40,1,60
1402661,56,1217956,211870,8,150,2.4,40,1,60
1605181,2,1338281,240986,9,150,2.4,40,1,60
1807837,56,1486510,271645,10,150,2.4,40,1,60
2010479,35,1615556,299862,11,150,2.4,40,1,60
2212754,56,1708835,325319,12,150,2.4,40,1,60
2415400,35,1821607,353323,13,150,2.4,40,1,60
2618157,35,1935575,383286,14,150,2.4,40,1,60
2820397,56,2014423,405188,15,150,2.4,40,1,60
3022850,56,2082532,425280,16,150,2.4,40,1,60
3225463,56,2154833,449398,17,150,2.4,40,1,60
3426501,56,2257420,484392,18,150,2.4,40,1,60
3627629,56,2328937,509675,19,150,2.4,40,1,60
3828139,56,2388609,529511,20,150,2.4,40,1,60
4029485,2,2442081,551859,21,150,2.4,40,1,60
4228902,56,2461777,563136,22,150,2.4,40,1,60
4427765,56,2470658,572017,23,150,2.4,40,1,60
4626533,14,2479652,581011,24,150,2.4,40,1,60
4825254,3,2488646,590005,25,150,2.4,40,1,60
5023825,52,2497768,599127,26,150,2.4,40,1,60
5222056,56,2507266,608625,27,150,2.4,40,1,60
5419744,37,2517395,618754,28,150,2.4,40,1,60
5617453,56,2527507,628866,29,150,2.4,40,1,60
5814588,2,2538054,639413,30,150,2.4,40,1,60
6011639,56,2548517,649876,31,150,2.4,40,1,60
6208669,55,2559183,660542,32,150,2.4,40,1,60
6405430,56,2569997,671356,33,150,2.4,40,1,60
6602294,56,2580722,682081,34,150,2.4,40,1,60
6799148,26,2591315,692674,35,150,2.4,40,1,60
6995912,3,2602216,703575,36,150,2.4,40,1,60
7192780,56,2612932,714291,37,150,2.4,40,1,60
7389629,56,2623529,724888,38,150,2.4,40,1,60
7586367,56,2634407,735766,39,150,2.4,40,1,60
7783223,2,2645150,746509,40,150,2.4,40,1,60
7980047,56,2655770,757129,41,150,2.4,40,1,60
8176855,53,2666596,767955,42,150,2.4,40,1,60
8373594,2,2677537,778896,43,150,2.4,40,1,60
8570374,56,2688204,789563,44,150,2.4,40,1,60
8767116,56,2699160,800519,45,150,2.4,40,1,60
8963819,2,2710005,811364,46,150,2.4,40,1,60
9160461,56,2720948,822307,47,150,2.4,40,1,60
9356915,2,2732107,833466,48,150,2.4,40,1,60
9553516,2,2742988,844347,49,150,2.4,40,1,60
9749888,54,2754029,855388,50,150,2.4,40,1,60
9946120,56,2765390,866749,51,150,2.4,40,1,60
10142742,2,2776288,877647,52,150,2.4,40,1,60
10338993,56,2787462,888821,53,150,2.4,40,1,60
10535432,2,2798549,899908,54,150,2.4,40,1,60
10731921,56,2809469,910828,55,150,2.4,40,1,60
10928224,56,2820588,921947,56,150,2.4,40,1,60
11124712,22,2831797,933156,57,150,2.4,40,1,60
11321145,56,2842669,944028,58,150,2.4,40,1,60
11517483,54,2853901,955260,59,150,2.4,40,1,60
11713818,5,2865034,966393,60,150,2.4,40,1,60
0,0,0,0,0,150,5,160,1,60
0,0,103344,15180,1,150,5,160,1,60
806845,30,385436,188887,2,150,5,160,1,60
1860877,28,617404,334727,3,150,5,160,1,60
2914572,46,819849,487971,4,150,5,160,1,60
3968215,35,1033876,643993,5,150,5,160,1,60
5021161,36,1236764,812627,6,150,5,160,1,60
6074017,33,1410920,972139,7,150,5,160,1,60
7126680,34,1599726,1160087,8,150,5,160,1,60
8179041,36,1830547,1389996,9,150,5,160,1,60
9231165,32,2075317,1634766,10,150,5,160,1,60
10283071,50,2333309,1892758,11,150,5,160,1,60
11335012,36,2572705,2132154,12,150,5,160,1,60
12386751,34,2845317,2404766,13,150,5,160,1,60
13438472,55,3113255,2672704,14,150,5,160,1,60
14490303,38,3378018,2937467,15,150,5,160,1,60
15542026,56,3655066,3214515,16,150,5,160,1,60
16593881,36,3918742,3478191,17,150,5,160,1,60
17645648,36,4178198,3737647,18,150,5,160,1,60
18697386,55,4445348,4004797,19,150,5,160,1,60
19749155,34,4720566,4280015,20,150,5,160,1,60
20800876,36,5001587,4561036,21,150,5,160,1,60
21852548,46,5282880,4842329,22,150,5,160,1,60
22904004,56,5572728,5132177,23,150,5,160,1,60
23954777,56,5907008,5466457,24,150,5,160,1,60
25005513,36,6249360,5808809,25,150,5,160,1,60
26056248,41,6594447,6153896,26,150,5,160,1,60
