MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.40345,3,20,800,30,9
1,15.1621,3,20,800,30,9
2,22.6631,3,20,800,30,9
3,30.588,3,20,800,30,9
4,45.8741,3,20,800,30,9
5,61.161,3,20,800,30,9
6,68.8138,3,20,800,30,9
7,76.4469,3,20,800,30,9
8,91.3532,3,20,800,30,9
9,100.981,3,20,800,30,9
10,112.874,3,20,800,30,9
11,124.362,3,20,800,30,9
12,133.736,3,20,800,30,9
13,147.662,3,20,800,30,9
0,14.8787,3,40,800,30,9
1,30.3082,3,40,800,30,9
2,45.454,3,40,800,30,9
3,61.161,3,40,800,30,9
4,91.3532,3,40,800,30,9
5,119.736,3,40,800,30,9
6,133.736,3,40,800,30,9
7,147.662,3,40,800,30,9
8,174.563,3,40,800,30,9
9,191.536,3,40,800,30,9
10,213.443,3,40,800,30,9
11,233.085,3,40,800,30,9
12,249.486,3,40,800,30,9
13,274.608,3,40,800,30,9
0,31.0764,3,80,800,30,9
1,63.2799,3,80,800,30,9
2,94.5603,3,80,800,30,9
3,125.233,3,80,800,30,9
4,181.719,3,80,800,30,9
5,234.632,3,80,800,30,9
6,260.488,3,80,800,30,9
7,285.669,3,80,800,30,9
8,331.006,3,80,800,30,9
9,361.368,3,80,800,30,9
10,397.869,3,80,800,30,9
11,431.781,3,80,800,30,9
12,459.776,3,80,800,30,9
13,498.569,3,80,800,30,9
0,62.1095,3,160,800,30,9
1,123.436,3,160,800,30,9
2,178.226,3,160,800,30,9
3,234.632,3,160,800,30,9
4,331.006,3,160,800,30,9
5,416.569,3,160,800,30,9
6,459.776,3,160,800,30,9
7,498.569,3,160,800,30,9
8,561.758,3,160,800,30,9
9,610.096,3,160,800,30,9
10,655.197,3,160,800,30,9
11,707.499,3,160,800,30,9
12,736.916,3,160,800,30,9
13,0.0183009,3,160,800,30,9
0,6.30174,3,20,3200,30,9
1,12.8403,3,20,3200,30,9
2,19.2874,3,20,3200,30,9
3,25.9793,3,20,3200,30,9
4,38.9169,3,20,3200,30,9
5,51.9302,3,20,3200,30,9
6,58.3675,3,20,3200,30,9
7,64.9763,3,20,3200,30,9
8,77.9513,3,20,3200,30,9
9,86.4993,3,20,3200,30,9
10,96.7794,3,20,3200,30,9
11,106.72,3,20,3200,30,9
12,114.854,3,20,3200,30,9
13,126.949,3,20,3200,30,9
0,12.5876,3,40,3200,30,9
1,25.7365,3,40,3200,30,9
2,38.5602,3,40,3200,30,9
3,51.9302,3,40,3200,30,9
4,77.9513,3,40,3200,30,9
5,102.721,3,40,3200,30,9
6,114.854,3,40,3200,30,9
7,126.949,3,40,3200,30,9
8,150.39,3,40,3200,30,9
9,165.229,3,40,3200,30,9
10,184.443,3,40,3200,30,9
11,201.732,3,40,3200,30,9
12,216.198,3,40,3200,30,9
13,238.433,3,40,3200,30,9
0,26.3878,3,80,3200,30,9
1,53.7338,3,80,3200,30,9
2,80.7004,3,80,3200,30,9
3,107.484,3,80,3200,30,9
4,156.637,3,80,3200,30,9
5,203.09,3,80,3200,30,9
6,225.925,3,80,3200,30,9
7,248.253,3,80,3200,30,9
8,288.677,3,80,3200,30,9
9,315.913,3,80,3200,30,9
10,348.826,3,80,3200,30,9
11,379.582,3,80,3200,30,9
12,405.084,3,80,3200,30,9
13,440.619,3,80,3200,30,9
0,52.7319,3,160,3200,30,9
1,106.153,3,160,3200,30,9
2,154.042,3,160,3200,30,9
3,203.09,3,160,3200,30,9
4,288.677,3,160,3200,30,9
5,365.753,3,160,3200,30,9
6,405.084,3,160,3200,30,9
7,440.619,3,160,3200,30,9
8,498.982,3,160,3200,30,9
9,544.012,3,160,3200,30,9
10,586.356,3,160,3200,30,9
11,635.844,3,160,3200,30,9
12,663.858,3,160,3200,30,9
13,710.839,3,160,3200,30,9
