MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.59396,3,20,800,30,6
1,15.3503,3,20,800,30,6
2,22.9506,3,20,800,30,6
3,30.7986,3,20,800,30,6
4,46.1875,3,20,800,30,6
5,61.5837,3,20,800,30,6
6,69.2842,3,20,800,30,6
7,76.9763,3,20,800,30,6
8,92.0224,3,20,800,30,6
9,101.797,3,20,800,30,6
10,113.887,3,20,800,30,6
11,125.581,3,20,800,30,6
0,15.2421,3,40,800,30,6
1,30.688,3,40,800,30,6
2,46.0243,3,40,800,30,6
3,61.5837,3,40,800,30,6
4,92.0224,3,40,800,30,6
5,120.873,3,40,800,30,6
6,135.151,3,40,800,30,6
7,149.376,3,40,800,30,6
8,176.952,3,40,800,30,6
9,194.406,3,40,800,30,6
10,217.002,3,40,800,30,6
11,237.33,3,40,800,30,6
0,31.8694,3,80,800,30,6
1,64.1164,3,80,800,30,6
2,95.8886,3,80,800,30,6
3,126.473,3,80,800,30,6
4,184.305,3,80,800,30,6
5,238.927,3,80,800,30,6
6,265.777,3,80,800,30,6
7,292.035,3,80,800,30,6
8,339.555,3,80,800,30,6
9,371.565,3,80,800,30,6
10,410.238,3,80,800,30,6
11,446.377,3,80,800,30,6
0,63.6659,3,160,800,30,6
1,125.818,3,160,800,30,6
2,182.911,3,160,800,30,6
3,238.927,3,160,800,30,6
4,339.555,3,160,800,30,6
5,430.135,3,160,800,30,6
6,476.339,3,160,800,30,6
7,518.082,3,160,800,30,6
8,586.627,3,160,800,30,6
9,639.519,3,160,800,30,6
10,689.222,3,160,800,30,6
11,747.288,3,160,800,30,6
0,6.4628,3,20,3200,30,6
1,13.0084,3,20,3200,30,6
2,19.53,3,20,3200,30,6
3,26.1603,3,20,3200,30,6
4,39.1858,3,20,3200,30,6
5,52.2877,3,20,3200,30,6
6,58.7704,3,20,3200,30,6
7,65.4251,3,20,3200,30,6
8,78.4857,3,20,3200,30,6
9,87.1072,3,20,3200,30,6
10,97.5301,3,20,3200,30,6
11,107.626,3,20,3200,30,6
0,12.912,3,40,3200,30,6
1,26.0652,3,40,3200,30,6
2,39.0467,3,40,3200,30,6
3,52.2877,3,40,3200,30,6
4,78.4857,3,40,3200,30,6
5,103.567,3,40,3200,30,6
6,115.901,3,40,3200,30,6
7,128.227,3,40,3200,30,6
8,152.17,3,40,3200,30,6
9,167.377,3,40,3200,30,6
10,187.109,3,40,3200,30,6
11,204.909,3,40,3200,30,6
0,27.0682,3,80,3200,30,6
1,54.4527,3,80,3200,30,6
2,81.7152,3,80,3200,30,6
3,108.399,3,80,3200,30,6
4,158.571,3,80,3200,30,6
5,206.31,3,80,3200,30,6
6,229.91,3,80,3200,30,6
7,253.067,3,80,3200,30,6
8,295.181,3,80,3200,30,6
9,323.701,3,80,3200,30,6
10,358.323,3,80,3200,30,6
11,390.836,3,80,3200,30,6
0,54.0681,3,160,3200,30,6
1,107.91,3,160,3200,30,6
2,157.534,3,160,3200,30,6
3,206.31,3,160,3200,30,6
4,295.181,3,160,3200,30,6
5,376.205,3,160,3200,30,6
6,417.918,3,160,3200,30,6
7,455.82,3,160,3200,30,6
8,518.533,3,160,3200,30,6
9,567.308,3,160,3200,30,6
10,613.488,3,160,3200,30,6
11,667.844,3,160,3200,30,6
