MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
0,7.40421,3,20,800,30,1
1,15.1639,3,20,800,30,1
2,22.667,3,20,800,30,1
3,30.5922,3,20,800,30,1
4,45.8806,3,20,800,30,1
5,61.1676,3,20,800,30,1
6,68.8221,3,20,800,30,1
7,76.4551,3,20,800,30,1
8,91.3667,3,20,800,30,1
9,100.996,3,20,800,30,1
10,112.888,3,20,800,30,1
11,124.371,3,20,800,30,1
12,133.755,3,20,800,30,1
13,147.686,3,20,800,30,1
0,14.8828,3,40,800,30,1
1,30.3119,3,40,800,30,1
2,45.4603,3,40,800,30,1
3,61.1676,3,40,800,30,1
4,91.3667,3,40,800,30,1
5,119.753,3,40,800,30,1
6,133.755,3,40,800,30,1
7,147.686,3,40,800,30,1
8,174.584,3,40,800,30,1
9,191.563,3,40,800,30,1
10,213.471,3,40,800,30,1
11,233.119,3,40,800,30,1
12,249.521,3,40,800,30,1
13,274.649,3,40,800,30,1
0,31.0817,3,80,800,30,1
1,63.2917,3,80,800,30,1
2,94.5783,3,80,800,30,1
3,125.248,3,80,800,30,1
4,181.742,3,80,800,30,1
5,234.665,3,80,800,30,1
6,260.527,3,80,800,30,1
7,285.708,3,80,800,30,1
8,331.06,3,80,800,30,1
9,361.423,3,80,800,30,1
10,397.924,3,80,800,30,1
11,431.843,3,80,800,30,1
12,459.838,3,80,800,30,1
13,498.64,3,80,800,30,1
0,62.1151,3,160,800,30,1
1,123.457,3,160,800,30,1
2,178.251,3,160,800,30,1
3,234.665,3,160,800,30,1
4,331.06,3,160,800,30,1
5,416.626,3,160,800,30,1
6,459.838,3,160,800,30,1
7,498.64,3,160,800,30,1
8,561.851,3,160,800,30,1
9,610.186,3,160,800,30,1
10,655.29,3,160,800,30,1
11,707.598,3,160,800,30,1
12,737.016,3,160,800,30,1
13,0.0183009,3,160,800,30,1
0,6.3026,3,20,3200,30,1
1,12.8422,3,20,3200,30,1
2,19.2915,3,20,3200,30,1
3,25.9832,3,20,3200,30,1
4,38.9236,3,20,3200,30,1
5,51.9359,3,20,3200,30,1
6,58.3753,3,20,3200,30,1
7,64.9883,3,20,3200,30,1
8,77.9622,3,20,3200,30,1
9,86.5134,3,20,3200,30,1
10,96.7962,3,20,3200,30,1
11,106.737,3,20,3200,30,1
12,114.867,3,20,3200,30,1
13,126.966,3,20,3200,30,1
0,12.5895,3,40,3200,30,1
1,25.7409,3,40,3200,30,1
2,38.5641,3,40,3200,30,1
3,51.9359,3,40,3200,30,1
4,77.9622,3,40,3200,30,1
5,102.732,3,40,3200,30,1
6,114.867,3,40,3200,30,1
7,126.966,3,40,3200,30,1
8,150.411,3,40,3200,30,1
9,165.254,3,40,3200,30,1
10,184.468,3,40,3200,30,1
11,201.758,3,40,3200,30,1
12,216.231,3,40,3200,30,1
13,238.467,3,40,3200,30,1
0,26.3904,3,80,3200,30,1
1,53.7439,3,80,3200,30,1
2,80.7174,3,80,3200,30,1
3,107.495,3,80,3200,30,1
4,156.665,3,80,3200,30,1
5,203.116,3,80,3200,30,1
6,225.955,3,80,3200,30,1
7,248.289,3,80,3200,30,1
8,288.714,3,80,3200,30,1
9,315.958,3,80,3200,30,1
10,348.872,3,80,3200,30,1
11,379.631,3,80,3200,30,1
12,405.138,3,80,3200,30,1
13,440.684,3,80,3200,30,1
0,52.7373,3,160,3200,30,1
1,106.17,3,160,3200,30,1
2,154.058,3,160,3200,30,1
3,203.116,3,160,3200,30,1
4,288.714,3,160,3200,30,1
5,365.809,3,160,3200,30,1
6,405.138,3,160,3200,30,1
7,440.684,3,160,3200,30,1
8,499.05,3,160,3200,30,1
9,544.094,3,160,3200,30,1
10,586.436,3,160,3200,30,1
11,635.939,3,160,3200,30,1
12,663.943,3,160,3200,30,1
13,710.937,3,160,3200,30,1
