Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.315,0,2.4,40,30,7
179.314,5,2.4,40,30,7
179.308,10,2.4,40,30,7
159.765,15,2.4,40,30,7
91.7859,20,2.4,40,30,7
91.6644,25,2.4,40,30,7
91.3795,30,2.4,40,30,7
91.3715,35,2.4,40,30,7
91.3715,40,2.4,40,30,7
90.0192,45,2.4,40,30,7
90.0185,50,2.4,40,30,7
90.0055,55,2.4,40,30,7
90.0042,60,2.4,40,30,7
89.9253,65,2.4,40,30,7
46.2096,70,2.4,40,30,7
45.9539,75,2.4,40,30,7
45.9538,80,2.4,40,30,7
45.8016,85,2.4,40,30,7
0,90,2.4,40,30,7
0,95,2.4,40,30,7
0,100,2.4,40,30,7
499.571,0,5,160,30,7
494.073,5,5,160,30,7
323.905,10,5,160,30,7
311.724,15,5,160,30,7
291.378,20,5,160,30,7
288.986,25,5,160,30,7
172.047,30,5,160,30,7
91.324,35,5,160,30,7
91.0149,40,5,160,30,7
51.2024,45,5,160,30,7
51.0212,50,5,160,30,7
0,55,5,160,30,7
0,60,5,160,30,7
0,65,5,160,30,7
0,70,5,160,30,7
0,75,5,160,30,7
0,80,5,160,30,7
0,85,5,160,30,7
0,90,5,160,30,7
0,95,5,160,30,7
0,100,5,160,30,7
499.571,0,6,160,30,7
454.3,5,6,160,30,7
313.121,10,6,160,30,7
293.615,15,6,160,30,7
291.271,20,6,160,30,7
172.236,25,6,160,30,7
91.4906,30,6,160,30,7
86.6079,35,6,160,30,7
51.2029,40,6,160,30,7
51.095,45,6,160,30,7
0,50,6,160,30,7
0,55,6,160,30,7
0,60,6,160,30,7
0,65,6,160,30,7
0,70,6,160,30,7
0,75,6,160,30,7
0,80,6,160,30,7
0,85,6,160,30,7
0,90,6,160,30,7
0,95,6,160,30,7
0,100,6,160,30,7
