Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.202,0,2.4,40,30,3
179.199,5,2.4,40,30,3
179.198,10,2.4,40,30,3
159.459,15,2.4,40,30,3
91.739,20,2.4,40,30,3
91.606,25,2.4,40,30,3
91.3221,30,2.4,40,30,3
91.3156,35,2.4,40,30,3
91.3156,40,2.4,40,30,3
89.9648,45,2.4,40,30,3
89.9637,50,2.4,40,30,3
89.9506,55,2.4,40,30,3
89.9492,60,2.4,40,30,3
89.8737,65,2.4,40,30,3
46.1852,70,2.4,40,30,3
45.933,75,2.4,40,30,3
45.9325,80,2.4,40,30,3
44.2699,85,2.4,40,30,3
0,90,2.4,40,30,3
0,95,2.4,40,30,3
0,100,2.4,40,30,3
182.339,0,5,40,30,3
182.337,5,5,40,30,3
112.96,10,5,40,30,3
93.0678,15,5,40,30,3
92.7073,20,5,40,30,3
92.6991,25,5,40,30,3
91.1869,30,5,40,30,3
91.1832,35,5,40,30,3
86.172,40,5,40,30,3
46.6203,45,5,40,30,3
44.8899,50,5,40,30,3
0,55,5,40,30,3
0,60,5,40,30,3
0,65,5,40,30,3
0,70,5,40,30,3
0,75,5,40,30,3
0,80,5,40,30,3
0,85,5,40,30,3
0,90,5,40,30,3
0,95,5,40,30,3
0,100,5,40,30,3
182.339,0,6,40,30,3
182.337,5,6,40,30,3
108.146,10,6,40,30,3
93.0672,15,6,40,30,3
92.7027,20,6,40,30,3
91.1999,25,6,40,30,3
91.1837,30,6,40,30,3
91.1225,35,6,40,30,3
46.6203,40,6,40,30,3
46.5697,45,6,40,30,3
0,50,6,40,30,3
0,55,6,40,30,3
0,60,6,40,30,3
0,65,6,40,30,3
0,70,6,40,30,3
0,75,6,40,30,3
0,80,6,40,30,3
0,85,6,40,30,3
0,90,6,40,30,3
0,95,6,40,30,3
0,100,6,40,30,3
