Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.315,0,2.4,40,30,10
179.314,5,2.4,40,30,10
179.308,10,2.4,40,30,10
159.765,15,2.4,40,30,10
91.7859,20,2.4,40,30,10
91.6644,25,2.4,40,30,10
91.3795,30,2.4,40,30,10
91.3715,35,2.4,40,30,10
91.3715,40,2.4,40,30,10
90.0192,45,2.4,40,30,10
90.0185,50,2.4,40,30,10
90.0055,55,2.4,40,30,10
90.0042,60,2.4,40,30,10
89.9253,65,2.4,40,30,10
46.2096,70,2.4,40,30,10
45.9539,75,2.4,40,30,10
45.9538,80,2.4,40,30,10
45.8016,85,2.4,40,30,10
0,90,2.4,40,30,10
0,95,2.4,40,30,10
0,100,2.4,40,30,10
499.571,0,5,160,30,10
494.073,5,5,160,30,10
323.905,10,5,160,30,10
311.724,15,5,160,30,10
291.378,20,5,160,30,10
288.986,25,5,160,30,10
172.047,30,5,160,30,10
91.324,35,5,160,30,10
91.0149,40,5,160,30,10
51.2024,45,5,160,30,10
51.0212,50,5,160,30,10
0,55,5,160,30,10
0,60,5,160,30,10
0,65,5,160,30,10
0,70,5,160,30,10
0,75,5,160,30,10
0,80,5,160,30,10
0,85,5,160,30,10
0,90,5,160,30,10
0,95,5,160,30,10
0,100,5,160,30,10
499.571,0,6,160,30,10
454.3,5,6,160,30,10
313.121,10,6,160,30,10
293.615,15,6,160,30,10
291.271,20,6,160,30,10
172.236,25,6,160,30,10
91.4906,30,6,160,30,10
86.6079,35,6,160,30,10
51.2029,40,6,160,30,10
51.095,45,6,160,30,10
0,50,6,160,30,10
0,55,6,160,30,10
0,60,6,160,30,10
0,65,6,160,30,10
0,70,6,160,30,10
0,75,6,160,30,10
0,80,6,160,30,10
0,85,6,160,30,10
0,90,6,160,30,10
0,95,6,160,30,10
0,100,6,160,30,10
