Mean_Goodput(Mbps),Distance(m),FrequencyBand(GHz),ChannelWidth(MHz),SimulationTime(s),Seed
179.258,0,2.4,40,30,5
179.253,5,2.4,40,30,5
179.249,10,2.4,40,30,5
159.605,15,2.4,40,30,5
91.7538,20,2.4,40,30,5
91.6284,25,2.4,40,30,5
91.3452,30,2.4,40,30,5
91.3386,35,2.4,40,30,5
91.3381,40,2.4,40,30,5
89.991,45,2.4,40,30,5
89.9907,50,2.4,40,30,5
89.9769,55,2.4,40,30,5
89.9756,60,2.4,40,30,5
89.898,65,2.4,40,30,5
46.1947,70,2.4,40,30,5
45.9396,75,2.4,40,30,5
45.9396,80,2.4,40,30,5
44.3005,85,2.4,40,30,5
0,90,2.4,40,30,5
0,95,2.4,40,30,5
0,100,2.4,40,30,5
499.399,0,5,160,30,5
493.907,5,5,160,30,5
323.831,10,5,160,30,5
311.732,15,5,160,30,5
291.282,20,5,160,30,5
277.344,25,5,160,30,5
171.985,30,5,160,30,5
91.2994,35,5,160,30,5
90.9457,40,5,160,30,5
51.1859,45,5,160,30,5
51.009,50,5,160,30,5
0,55,5,160,30,5
0,60,5,160,30,5
0,65,5,160,30,5
0,70,5,160,30,5
0,75,5,160,30,5
0,80,5,160,30,5
0,85,5,160,30,5
0,90,5,160,30,5
0,95,5,160,30,5
0,100,5,160,30,5
499.399,0,6,160,30,5
454.143,5,6,160,30,5
313.064,10,6,160,30,5
293.516,15,6,160,30,5
291.175,20,6,160,30,5
172.183,25,6,160,30,5
91.4642,30,6,160,30,5
86.5882,35,6,160,30,5
51.1867,40,6,160,30,5
51.0867,45,6,160,30,5
0,50,6,160,30,5
0,55,6,160,30,5
0,60,6,160,30,5
0,65,6,160,30,5
0,70,6,160,30,5
0,75,6,160,30,5
0,80,6,160,30,5
0,85,6,160,30,5
0,90,6,160,30,5
0,95,6,160,30,5
0,100,6,160,30,5
