Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0,0,2.4,40,40,20
88.3111,1,2.4,40,40,20
146.225,2,2.4,40,40,20
168.903,3,2.4,40,40,20
202.027,4,2.4,40,40,20
194.849,5,2.4,40,40,20
107.339,6,2.4,40,40,20
280.344,7,2.4,40,40,20
381.481,8,2.4,40,40,20
332.513,9,2.4,40,40,20
218.082,10,2.4,40,40,20
322.926,11,2.4,40,40,20
205.567,12,2.4,40,40,20
430.825,13,2.4,40,40,20
354.903,14,2.4,40,40,20
362.385,15,2.4,40,40,20
395.789,16,2.4,40,40,20
255.048,17,2.4,40,40,20
467.961,18,2.4,40,40,20
282.982,19,2.4,40,40,20
347.284,20,2.4,40,40,20
650.46,21,2.4,40,40,20
434.102,22,2.4,40,40,20
365.391,23,2.4,40,40,20
397.436,24,2.4,40,40,20
489.932,25,2.4,40,40,20
575.826,26,2.4,40,40,20
390.69,27,2.4,40,40,20
800.286,28,2.4,40,40,20
573.379,29,2.4,40,40,20
535.547,30,2.4,40,40,20
848.248,31,2.4,40,40,20
662.697,32,2.4,40,40,20
858.666,33,2.4,40,40,20
943.148,34,2.4,40,40,20
796.906,35,2.4,40,40,20
477.258,36,2.4,40,40,20
633.171,37,2.4,40,40,20
759.231,38,2.4,40,40,20
732.177,39,2.4,40,40,20
776.864,40,2.4,40,40,20
820.866,41,2.4,40,40,20
685.574,42,2.4,40,40,20
1115.47,43,2.4,40,40,20
828.798,44,2.4,40,40,20
984.976,45,2.4,40,40,20
828.455,46,2.4,40,40,20
732.356,47,2.4,40,40,20
811.009,48,2.4,40,40,20
726.216,49,2.4,40,40,20
937.506,50,2.4,40,40,20
831.606,51,2.4,40,40,20
723.454,52,2.4,40,40,20
870.759,53,2.4,40,40,20
757.85,54,2.4,40,40,20
756.45,55,2.4,40,40,20
1023.84,56,2.4,40,40,20
1095.37,57,2.4,40,40,20
1029.31,58,2.4,40,40,20
1111.7,59,2.4,40,40,20
1147.59,60,2.4,40,40,20
0,0,5,160,40,20
0,1,5,160,40,20
203.322,2,5,160,40,20
130.794,3,5,160,40,20
132.529,4,5,160,40,20
146.979,5,5,160,40,20
114.98,6,5,160,40,20
47.2712,7,5,160,40,20
272.445,8,5,160,40,20
121.516,9,5,160,40,20
385.268,10,5,160,40,20
218.877,11,5,160,40,20
164.837,12,5,160,40,20
111.399,13,5,160,40,20
140.266,14,5,160,40,20
117.395,15,5,160,40,20
163.459,16,5,160,40,20
139.914,17,5,160,40,20
177.656,18,5,160,40,20
125.76,19,5,160,40,20
237.784,20,5,160,40,20
268.358,21,5,160,40,20
185.284,22,5,160,40,20
192.717,23,5,160,40,20
235.912,24,5,160,40,20
202.749,25,5,160,40,20
222.854,26,5,160,40,20
205.047,27,5,160,40,20
300.723,28,5,160,40,20
182.224,29,5,160,40,20
322.865,30,5,160,40,20
289.148,31,5,160,40,20
298.952,32,5,160,40,20
308.687,33,5,160,40,20
550.821,34,5,160,40,20
389.037,35,5,160,40,20
274.422,36,5,160,40,20
395.525,37,5,160,40,20
318.927,38,5,160,40,20
351.914,39,5,160,40,20
332.498,40,5,160,40,20
444.895,41,5,160,40,20
393.578,42,5,160,40,20
484.461,43,5,160,40,20
415.952,44,5,160,40,20
464.527,45,5,160,40,20
401.159,46,5,160,40,20
343.488,47,5,160,40,20
410.041,48,5,160,40,20
388.449,49,5,160,40,20
482.555,50,5,160,40,20
409.091,51,5,160,40,20
464.199,52,5,160,40,20
432.686,53,5,160,40,20
411.471,54,5,160,40,20
439.49,55,5,160,40,20
538.419,56,5,160,40,20
474.756,57,5,160,40,20
457.012,58,5,160,40,20
534.086,59,5,160,40,20
565.763,60,5,160,40,20
0,0,6,160,40,20
0,1,6,160,40,20
173.057,2,6,160,40,20
119.788,3,6,160,40,20
132.908,4,6,160,40,20
142.09,5,6,160,40,20
115.188,6,6,160,40,20
76.4604,7,6,160,40,20
232.977,8,6,160,40,20
206.893,9,6,160,40,20
273.51,10,6,160,40,20
172.62,11,6,160,40,20
109.903,12,6,160,40,20
88.962,13,6,160,40,20
231.087,14,6,160,40,20
113.567,15,6,160,40,20
133.503,16,6,160,40,20
92.5346,17,6,160,40,20
133.528,18,6,160,40,20
85.6083,19,6,160,40,20
167.703,20,6,160,40,20
176.751,21,6,160,40,20
133.044,22,6,160,40,20
167.076,23,6,160,40,20
162.045,24,6,160,40,20
174.747,25,6,160,40,20
134.525,26,6,160,40,20
125.358,27,6,160,40,20
274.373,28,6,160,40,20
169.621,29,6,160,40,20
238.269,30,6,160,40,20
245.688,31,6,160,40,20
264.314,32,6,160,40,20
233.949,33,6,160,40,20
342.807,34,6,160,40,20
319.398,35,6,160,40,20
213.233,36,6,160,40,20
365.27,37,6,160,40,20
275.054,38,6,160,40,20
284.559,39,6,160,40,20
192.493,40,6,160,40,20
364.826,41,6,160,40,20
308.592,42,6,160,40,20
411.41,43,6,160,40,20
394.149,44,6,160,40,20
343.208,45,6,160,40,20
290.981,46,6,160,40,20
231.03,47,6,160,40,20
293.789,48,6,160,40,20
271.892,49,6,160,40,20
463.252,50,6,160,40,20
290.157,51,6,160,40,20
349.694,52,6,160,40,20
395.531,53,6,160,40,20
296.19,54,6,160,40,20
314.511,55,6,160,40,20
461.122,56,6,160,40,20
375.363,57,6,160,40,20
337.953,58,6,160,40,20
435.866,59,6,160,40,20
469.689,60,6,160,40,20
