Mean_Goodput(Mbps),NumSTAs,FrequencyBand(GHz),ChannelWidth(GHz),Seed,SimulationTime(s)
0,0,2.4,40,42,20
88.3527,1,2.4,40,42,20
89.9628,2,2.4,40,42,20
145.847,3,2.4,40,42,20
119.783,4,2.4,40,42,20
220.801,5,2.4,40,42,20
116.944,6,2.4,40,42,20
297.445,7,2.4,40,42,20
346.68,8,2.4,40,42,20
239.238,9,2.4,40,42,20
258.618,10,2.4,40,42,20
328.903,11,2.4,40,42,20
468.707,12,2.4,40,42,20
389.759,13,2.4,40,42,20
264.753,14,2.4,40,42,20
315.274,15,2.4,40,42,20
357.267,16,2.4,40,42,20
421.218,17,2.4,40,42,20
390.44,18,2.4,40,42,20
313.011,19,2.4,40,42,20
393.67,20,2.4,40,42,20
665.614,21,2.4,40,42,20
358.361,22,2.4,40,42,20
340.683,23,2.4,40,42,20
428.167,24,2.4,40,42,20
411.724,25,2.4,40,42,20
732.703,26,2.4,40,42,20
475.658,27,2.4,40,42,20
625.435,28,2.4,40,42,20
475.522,29,2.4,40,42,20
548.34,30,2.4,40,42,20
659.965,31,2.4,40,42,20
583.506,32,2.4,40,42,20
752.426,33,2.4,40,42,20
829.405,34,2.4,40,42,20
741.149,35,2.4,40,42,20
574.942,36,2.4,40,42,20
700.232,37,2.4,40,42,20
695.382,38,2.4,40,42,20
674.433,39,2.4,40,42,20
823.827,40,2.4,40,42,20
811.124,41,2.4,40,42,20
663.913,42,2.4,40,42,20
1005.17,43,2.4,40,42,20
849.469,44,2.4,40,42,20
1312.8,45,2.4,40,42,20
893.641,46,2.4,40,42,20
624.529,47,2.4,40,42,20
1071.32,48,2.4,40,42,20
953.604,49,2.4,40,42,20
733.978,50,2.4,40,42,20
985.518,51,2.4,40,42,20
902.332,52,2.4,40,42,20
773.322,53,2.4,40,42,20
816.525,54,2.4,40,42,20
724.226,55,2.4,40,42,20
782.974,56,2.4,40,42,20
979.368,57,2.4,40,42,20
912.84,58,2.4,40,42,20
1122.57,59,2.4,40,42,20
861.824,60,2.4,40,42,20
0,0,5,160,42,20
89.6699,1,5,160,42,20
0,2,5,160,42,20
80.322,3,5,160,42,20
59.4442,4,5,160,42,20
57.766,5,5,160,42,20
78.4958,6,5,160,42,20
64.7318,7,5,160,42,20
311.156,8,5,160,42,20
112.034,9,5,160,42,20
129.015,10,5,160,42,20
140.172,11,5,160,42,20
144.952,12,5,160,42,20
223.611,13,5,160,42,20
176.636,14,5,160,42,20
122.688,15,5,160,42,20
146.505,16,5,160,42,20
185.221,17,5,160,42,20
186.04,18,5,160,42,20
210.622,19,5,160,42,20
161.62,20,5,160,42,20
221.886,21,5,160,42,20
164.673,22,5,160,42,20
185.279,23,5,160,42,20
205.204,24,5,160,42,20
187.828,25,5,160,42,20
326.061,26,5,160,42,20
252.512,27,5,160,42,20
245.036,28,5,160,42,20
247.968,29,5,160,42,20
290.193,30,5,160,42,20
257.401,31,5,160,42,20
268.828,32,5,160,42,20
342.436,33,5,160,42,20
366.62,34,5,160,42,20
387.885,35,5,160,42,20
283.753,36,5,160,42,20
428.306,37,5,160,42,20
367.74,38,5,160,42,20
338.905,39,5,160,42,20
337.876,40,5,160,42,20
449.446,41,5,160,42,20
387.668,42,5,160,42,20
475.605,43,5,160,42,20
451.754,44,5,160,42,20
575.874,45,5,160,42,20
378.918,46,5,160,42,20
295.525,47,5,160,42,20
476.893,48,5,160,42,20
429.001,49,5,160,42,20
330.36,50,5,160,42,20
459.284,51,5,160,42,20
440.889,52,5,160,42,20
409.538,53,5,160,42,20
382.771,54,5,160,42,20
351.857,55,5,160,42,20
387.659,56,5,160,42,20
440.923,57,5,160,42,20
477.646,58,5,160,42,20
518.401,59,5,160,42,20
569.458,60,5,160,42,20
0,0,6,160,42,20
89.5894,1,6,160,42,20
0,2,6,160,42,20
193.719,3,6,160,42,20
43.9305,4,6,160,42,20
98.245,5,6,160,42,20
165.717,6,6,160,42,20
68.7796,7,6,160,42,20
207.239,8,6,160,42,20
167.841,9,6,160,42,20
331.932,10,6,160,42,20
142.941,11,6,160,42,20
127.987,12,6,160,42,20
85.763,13,6,160,42,20
122.418,14,6,160,42,20
102.653,15,6,160,42,20
125.476,16,6,160,42,20
172.276,17,6,160,42,20
145.214,18,6,160,42,20
120.248,19,6,160,42,20
131.178,20,6,160,42,20
313.487,21,6,160,42,20
119.669,22,6,160,42,20
148.159,23,6,160,42,20
143.734,24,6,160,42,20
149.825,25,6,160,42,20
227.444,26,6,160,42,20
201.006,27,6,160,42,20
251.646,28,6,160,42,20
231.781,29,6,160,42,20
244.221,30,6,160,42,20
215.148,31,6,160,42,20
266.752,32,6,160,42,20
320.051,33,6,160,42,20
258.167,34,6,160,42,20
290.3,35,6,160,42,20
260.1,36,6,160,42,20
338.929,37,6,160,42,20
315.876,38,6,160,42,20
269.753,39,6,160,42,20
245.836,40,6,160,42,20
326.694,41,6,160,42,20
352.31,42,6,160,42,20
331.178,43,6,160,42,20
360.87,44,6,160,42,20
405.656,45,6,160,42,20
307.048,46,6,160,42,20
214.864,47,6,160,42,20
386.05,48,6,160,42,20
368.309,49,6,160,42,20
269.332,50,6,160,42,20
381.856,51,6,160,42,20
337.855,52,6,160,42,20
294.619,53,6,160,42,20
318.82,54,6,160,42,20
278.064,55,6,160,42,20
310.191,56,6,160,42,20
340.384,57,6,160,42,20
336.466,58,6,160,42,20
414.03,59,6,160,42,20
455.406,60,6,160,42,20
