Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,7
,,,2.4,40,,7
158.993,600,3,2.4,40,20,7
167.366,800,3,2.4,40,20,7
173.579,1000,3,2.4,40,20,7
179.03,1200,3,2.4,40,20,7
182.227,1400,3,2.4,40,20,7
185.272,1600,3,2.4,40,20,7
187.27,1800,3,2.4,40,20,7
0.0168427,2000,3,2.4,40,20,7
0.0168427,2200,3,2.4,40,20,7
12.8931,2400,3,2.4,40,20,7
20.4303,2600,3,2.4,40,20,7
66.2406,2800,3,2.4,40,20,7
88.6567,3000,3,2.4,40,20,7
96.2467,3200,3,2.4,40,20,7
120.435,3400,3,2.4,40,20,7
116.583,3600,3,2.4,40,20,7
111.546,3800,3,2.4,40,20,7
104.942,4000,3,2.4,40,20,7
102.559,4200,3,2.4,40,20,7
0.0168427,4400,3,2.4,40,20,7
0.0168427,4600,3,2.4,40,20,7
0.50615,4800,3,2.4,40,20,7
0.837435,5000,3,2.4,40,20,7
22.5223,5200,3,2.4,40,20,7
31.4334,5400,3,2.4,40,20,7
30.5411,5600,3,2.4,40,20,7
39.0115,5800,3,2.4,40,20,7
26.312,6000,3,2.4,40,20,7
36.4213,6200,3,2.4,40,20,7
46.3333,6400,3,2.4,40,20,7
0.0168427,6600,3,2.4,40,20,7
0.0168427,6800,3,2.4,40,20,7
0.0168427,7000,3,2.4,40,20,7
13.6248,7200,3,2.4,40,20,7
4.78812,7400,3,2.4,40,20,7
18.0047,7600,3,2.4,40,20,7
25.9911,7800,3,2.4,40,20,7
25.9393,8000,3,2.4,40,20,7
19.3875,8200,3,2.4,40,20,7
31.1504,8400,3,2.4,40,20,7
42.6877,8600,3,2.4,40,20,7
0.0168427,8800,3,2.4,40,20,7
0.0168427,9000,3,2.4,40,20,7
0.0542037,9200,3,2.4,40,20,7
6.81186,9400,3,2.4,40,20,7
9.86006,9600,3,2.4,40,20,7
3.31617,9800,3,2.4,40,20,7
15.2115,10000,3,2.4,40,20,7
