Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
,,,2.4,40,,9
,,,2.4,40,,9
158.864,600,3,2.4,40,20,9
167.241,800,3,2.4,40,20,9
173.449,1000,3,2.4,40,20,9
178.899,1200,3,2.4,40,20,9
182.139,1400,3,2.4,40,20,9
185.235,1600,3,2.4,40,20,9
187.136,1800,3,2.4,40,20,9
0.0168427,2000,3,2.4,40,20,9
0.0168427,2200,3,2.4,40,20,9
11.7885,2400,3,2.4,40,20,9
20.8037,2600,3,2.4,40,20,9
67.8369,2800,3,2.4,40,20,9
89.0359,3000,3,2.4,40,20,9
96.548,3200,3,2.4,40,20,9
120.403,3400,3,2.4,40,20,9
116.878,3600,3,2.4,40,20,9
111.254,3800,3,2.4,40,20,9
104.866,4000,3,2.4,40,20,9
102.508,4200,3,2.4,40,20,9
0.0168427,4400,3,2.4,40,20,9
0.0168427,4600,3,2.4,40,20,9
0.396558,4800,3,2.4,40,20,9
0.743997,5000,3,2.4,40,20,9
22.0765,5200,3,2.4,40,20,9
30.5011,5400,3,2.4,40,20,9
30.6685,5600,3,2.4,40,20,9
38.5121,5800,3,2.4,40,20,9
27.0075,6000,3,2.4,40,20,9
36.9693,6200,3,2.4,40,20,9
46.0685,6400,3,2.4,40,20,9
0.0168427,6600,3,2.4,40,20,9
0.0168427,6800,3,2.4,40,20,9
0.0466324,7000,3,2.4,40,20,9
12.8781,7200,3,2.4,40,20,9
4.73526,7400,3,2.4,40,20,9
20.7485,7600,3,2.4,40,20,9
25.4266,7800,3,2.4,40,20,9
27.0323,8000,3,2.4,40,20,9
18.9172,8200,3,2.4,40,20,9
29.3724,8400,3,2.4,40,20,9
43.911,8600,3,2.4,40,20,9
0.0168427,8800,3,2.4,40,20,9
0.0168427,9000,3,2.4,40,20,9
0.0168427,9200,3,2.4,40,20,9
6.56941,9400,3,2.4,40,20,9
9.84702,9600,3,2.4,40,20,9
3.34548,9800,3,2.4,40,20,9
16.4687,10000,3,2.4,40,20,9
