MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,OfdmRate6Mbps,6.4628,3,20,30
1,OfdmRate12Mbps,13.0084,3,20,30
2,OfdmRate18Mbps,19.53,3,20,30
3,OfdmRate24Mbps,26.1603,3,20,30
4,OfdmRate36Mbps,39.1858,3,20,30
5,OfdmRate48Mbps,52.2877,3,20,30
6,OfdmRate54Mbps,58.7704,3,20,30
7,OfdmRate54Mbps,65.4251,3,20,30
8,OfdmRate54Mbps,78.4857,3,20,30
9,OfdmRate54Mbps,87.1072,3,20,30
10,OfdmRate54Mbps,97.5301,3,20,30
11,OfdmRate54Mbps,107.626,3,20,30
0,OfdmRate6Mbps,12.912,3,40,30
1,OfdmRate12Mbps,26.0652,3,40,30
2,OfdmRate18Mbps,39.0467,3,40,30
3,OfdmRate24Mbps,52.2877,3,40,30
4,OfdmRate36Mbps,78.4857,3,40,30
5,OfdmRate48Mbps,103.567,3,40,30
6,OfdmRate54Mbps,115.901,3,40,30
7,OfdmRate54Mbps,128.227,3,40,30
8,OfdmRate54Mbps,152.17,3,40,30
9,OfdmRate54Mbps,167.377,3,40,30
10,OfdmRate54Mbps,187.109,3,40,30
11,OfdmRate54Mbps,204.909,3,40,30
0,OfdmRate6Mbps,27.0682,3,80,30
1,OfdmRate12Mbps,54.4527,3,80,30
2,OfdmRate18Mbps,81.7152,3,80,30
3,OfdmRate24Mbps,108.399,3,80,30
4,OfdmRate36Mbps,158.571,3,80,30
5,OfdmRate48Mbps,206.31,3,80,30
6,OfdmRate54Mbps,229.91,3,80,30
7,OfdmRate54Mbps,253.067,3,80,30
8,OfdmRate54Mbps,295.181,3,80,30
9,OfdmRate54Mbps,323.701,3,80,30
10,OfdmRate54Mbps,358.323,3,80,30
11,OfdmRate54Mbps,390.836,3,80,30
0,OfdmRate6Mbps,54.0681,3,160,30
1,OfdmRate12Mbps,107.91,3,160,30
2,OfdmRate18Mbps,157.534,3,160,30
3,OfdmRate24Mbps,206.31,3,160,30
4,OfdmRate36Mbps,295.181,3,160,30
5,OfdmRate48Mbps,376.205,3,160,30
6,OfdmRate54Mbps,417.918,3,160,30
7,OfdmRate54Mbps,455.82,3,160,30
8,OfdmRate54Mbps,518.533,3,160,30
9,OfdmRate54Mbps,567.308,3,160,30
10,OfdmRate54Mbps,613.488,3,160,30
11,OfdmRate54Mbps,667.844,3,160,30
